CAS RN,Chemical name,Australian Inventory of Industrial Chemicals (Inventory) listing,Safe Work Australia HCIS,ECHA Annex VI CLP,International Agency for Research on Cancer,United States National Toxicology Program Report on Carcinogens,European Commission Endocrine Disruptor Strategy,United Nations Environment Programme EDC,Government of Canada Toxic Substances List,ECHA Annex XIV,EU Substances of Very High Concern,Chemical Substance Control Law Japan,European Commission Endocrine Disruptor List,Date entry was added to the list
74753-18-7,"4,4'-bi-o-toluidine, salts of; 3,3'-dimethylbenzidine, salts ofo-tolidine, salts of",-,Carcinogenicity 1B H350,Carc. 1B H350,-,-,-,-,-,-,-,-,-,01-July-2020
74869-21-9,"Lubricating greases;  Grease;  [A complex combination of hydrocarbons having carbon numbers predominantly in the range of C12 through C50. May contain organic salts of alkali metals, alkaline earth metals, and/or aluminium compounds.]",-,Carcinogenicity 1B H350,Carc. 1B H350,-,-,-,-,-,-,-,-,-,01-July-2020
74869-22-0,Lubricating oils;  Baseoil - unspecified;  [A complex combination of hydrocarbons obtained from solvent extraction and dewaxing processes. It consists predominantly of saturated hydrocarbons having carbon numbers in the range C15 through C50.],-,Carcinogenicity 1B H350,Carc. 1B H350,-,-,-,-,-,-,-,-,-,01-July-2020
75113-37-0,"dibutyltin hydrogen borate; 1,3-Dioxa-2-stanna-4-boracyclobutane, 2,2-dibutyl-4-hydroxy-",Listed - public,Mutagenicity 2 H341; Reproductive toxicity 1B H360FD; Aquatic (chronic) 1 H410,Muta. 2 H341; Repr. 1B H360FD; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
75166-30-2,(2S)-3-(4-tert-butylphenyl)-2-methylpropanal,-,-,-,-,-,-,-,-,-,Toxic for reproduction (Article 57c),-,-,24-September-2024
75166-31-3,(2R)-3-(4-tert-butylphenyl)-2-methylpropanal,-,-,-,-,-,-,-,-,-,Toxic for reproduction (Article 57c),-,-,24-September-2024
75199-20-1,"1,3'-Bipyridinium, 1',2'-dihydro-6'-hydroxy-3,4'-dimethyl-2'-oxo-5'-[[4-(phenylazo)phenyl]azo]-, chloride",Listed - public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,01-July-2020
75214-64-1,"Cuprate(3-), [.mu.-[7-[[4'-[[6-(benzoylamino)-1-hydroxy-3-sulfo-2-naphthalenyl]azo]-3,3'-dihydroxy[1,1'-biphenyl]-4-yl]azo]-8-hydroxy-1,6-naphthalenedisulfonato(7-)]]di-, trisodium",Listed - Public,Carcinogenicity 1B H350,-,-,-,-,-,-,-,-,-,-,24-September-2024
75268-77-8,"Cuprate(3-), [.mu.-[7-[[4'-[[8-(acetylamino)-1-hydroxy-3-sulfo-2-naphthalenyl]azo]-3,3'-dihydroxy[1,1'-biphenyl]-4-yl]azo]-8-hydroxy-1,6-naphthalenedisulfonato(7-)]]di-, trisodium",Listed - Public,Carcinogenicity 1B H350,-,-,-,-,-,-,-,-,-,-,24-September-2024
75284-35-4,"Cuprate(3-), [.mu.-[3-[[4'-[[6-(benzoylamino)-1-hydroxy-3-sulfo-2-naphthalenyl]azo]-3,3'-dihydroxy[1,1'-biphenyl]-4-yl]azo]-4,5-dihydroxy-2,7-naphthalenedisulfonato(7-)]]di-, trisodium",Listed - Public,Carcinogenicity 1B H350,-,-,-,-,-,-,-,-,-,-,24-September-2024
75321-20-9,"1,3-Dinitropyrene",-,-,-,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
75522-93-9,"Benzoic acid, 2-[[2-amino-6-[[4'-[[5-[(2,5-disulfophenyl)azo]-1-hydroxy-6-(phenylamino)-3-sulfo-2-naphthalenyl]azo]-3,3'-dimethoxy[1,1'-biphenyl]-4-yl]azo]-5-hydroxy-7-sulfo-1-naphthalenyl]azo]-5-nitro-, tetrasodium salt",Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341,-,-,-,-,-,-,-,-,-,-,01-July-2020
75522-94-0,"Benzoic acid, 2-[[2-amino-5-hydroxy-6-[[4'-[[1-hydroxy-8-[[(4-methylphenyl)sulfonyl]amino]-3,6-disulfo-2-naphthalenyl]azo]-3,3'-dimethoxy(1,1'-biphenyl)-4-yl]azo]-7-sulfo-1-naphthalenyl]azo]-5-nitro-, trisodium salt",Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341,-,-,-,-,-,-,-,-,-,-,01-July-2020
75627-17-7,"Benzenesulfonic acid, 3-[[4-[(2-methoxy-5-methylphenyl)azo]-1-naphthalenyl]azo]-, sodium salt",Listed - public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,01-July-2020
75660-25-2,"chrysoidine monoacetate; 4-(phenylazo)benzene-1,3-diamine monoacetate; 1,3-Benzenediamine, 4-(phenylazo)-, monoacetate",Listed - public,Carcinogenicity 2 H351; Mutagenicity 2 H341; Aquatic (chronic) 1 H410,Muta. 2 H341; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
75949-73-4,"Benzenesulfonic acid, 4,4'-[methylenebis[4,1-phenyleneazo(4,5-dihydro-3-methyl-5-oxo-1H-pyrazole-4,1-diyl)]]bis[3-methyl-, disodium salt",Listed - Public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,24-September-2024
75980-60-8,"diphenyl(2,4,6- trimethylbenzoyl)phosphine oxide",Listed - public,Reproductive toxicity 2 H361f,"Repr. 2 H361f (causing atrophy of the testes)
",-,-,-,-,-,-,-,-,-,01-July-2020
76180-96-6,"IQ (2-Amino-3-methylimidazo[4,5-f]quinoline)",-,-,-,Group 2A,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
76253-60-6,"dichloro [(dichlorophenyl)methyl]methylbenzene, reaction mass of isomers;  (dichlorophenyl)(dichlorotolyl)methane, reaction mass of isomers (IUPAC)",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
76714-88-0,"diniconazole (ISO);  (E)-ß-[(2,4-dichlorophenyl)methylene]-a-(1,1-dimethylethyl)-1H-1,2,4-triazol-1-ethanol;  (E)-(RS)-1-(2,4-dichlorophenyl)-4,4-dimethyl-2-(1H-1,2,4-triazol-1-yl)pent-1-en-3-ol",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
76738-62-0,"paclobutrazol (ISO); (2RS,3RS)-1-(4-chlorophenyl)-4,4-dimethyl- 2-(1H-1,2,4-triazol-1- yl)pentan-3-ol",-,Reproductive toxicity 2 H361d; Aquatic (chronic) 1 H410,Repr. 2 H361d; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,24-September-2024
76842-07-4,"2,3,3',4',5'-pentachlorobiphenyl",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
77094-11-2,"MeIQ (2-Amino-3,4-dimethylimidazo[4,5-f]quinoline)",-,-,-,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
77182-82-2,glufosinate ammonium (ISO);  ammonium 2-amino-4-(hydroxymethylphosphinyl)butyrate,-,Reproductive toxicity 1B H360FD,Repr. 1B H360Fd,-,-,-,-,-,-,-,-,-,01-July-2020
77194-15-1,"Phenol, nonyl-, zinc salt",Listed - Public,Reproductive toxicity 2 H361fd,-,-,-,-,-,-,-,-,-,-,24-September-2024
77227-99-7,"3-chloro-4,5,α, α,α-pentafluorotoluene",-,Aquatic (acute) 1 H400,Aquatic Acute 1 H400,-,-,-,-,-,-,-,-,-,01-July-2020
77402-03-0,"methyl acrylamidomethoxyacetate (containing ≥ 0,1 % acrylamid)",Listed - public,Carcinogenicity 1B H350; Mutagenicity 1B H340,Carc. 1B H350; Muta. 1B H340,-,-,-,-,-,-,-,-,-,01-July-2020
77402-05-2,"methyl acrylamidoglycolate (containing ≥ 0,1 % acrylamide)",-,Carcinogenicity 1B H350; Mutagenicity 1B H340,Carc. 1B H350; Muta. 1B H340,-,-,-,-,-,-,-,-,-,01-July-2020
77439-76-0,3-Chloro-4-(dichloromethyl)-5-hydroxy-2(5H)-furanone,-,-,-,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
77500-04-0,"MeIQx (2-Amino-3,8-dimethylimidazo[4,5-f]quinoxaline)",-,-,-,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
77536-66-4,"asbestos, actinolite ",-,Carcinogenicity 1A H350,Carc. 1A H350,-,-,-,-,-,-,-,-,-,01-July-2020
77536-67-5,"asbestos, anthophyllite",-,Carcinogenicity 1A H350,Carc. 1A H350,-,-,-,-,-,-,-,-,-,01-July-2020
77536-68-6,"asbestos, tremolite",-,Carcinogenicity 1A H350,Carc. 1A H350,-,-,-,-,-,-,-,-,-,01-July-2020
77607-09-1,"2,3,3',4,4',5-Hexabromobiphenyl",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
78417-28-4,"2,4,7-Decatrienoic acid, ethyl ester",Listed - public,Aquatic (acute) 1 H400,-,-,-,-,-,-,-,-,-,-,01-July-2020
78587-05-0,hexythiazox (ISO);  trans-5-(4-chlorophenyl)-N-cyclohexyl-4-methyl-2-oxo-3-thiazolidine-carboxamide,-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
79135-30-1,"Cuprate(2-), [.mu.-[[3,3'-[[3,3'-dihydroxy[1,1'-biphenyl]-4,4'-diyl]bis(azo)]bis[7-[[4,6-bis[[3-(diethylamino)propyl]amino]-1,3,5-triazin-2-yl]amino]-4-hydroxy-2-naphthalenesulfonato]](6-)]]di-, dihydrogen, diacetate (salt)",Listed - public,Carcinogenicity 1B H350,-,-,-,-,-,-,-,-,-,-,01-July-2020
79217-60-0,Cyclosporine,-,-,-,Group 1,-,-,-,-,-,-,-,-,01-July-2020
79234-33-6,"chrysoidine acetate; 4-(phenylazo)benzene-1,3-diamine acetate; 1,3-Benzenediamine, 4-(phenylazo)-, acetate",Listed - public,Carcinogenicity 2 H351; Mutagenicity 2 H341; Aquatic (chronic) 1 H410,Muta. 2 H341; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
79241-46-6,fluazifop-P-butyl (ISO);  butyl (R)-2-[4-(5-trifluoromethyl-2-pyridyloxy)phenoxy]propionate,-,Reproductive toxicity 2 H361d; Aquatic (chronic) 1 H410,Repr. 2 H361D; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
79277-27-3,"thifensulfuron-methyl (ISO);  methyl 3-(4-methoxy-6- methyl-1,3,5-triazin-2-ylcarbamoylsulfamoyl)thiophene-2- carboxylate",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
79330-84-0,"8-Oxa-3,5-dithia-4-stannadocosanoic acid, 4,4-dioctyl-7-oxo-, tetradecyl ester",Listed - Public,Reproductive toxicity 2 H361fd,-,-,-,-,-,-,-,-,-,-,24-September-2024
79357-62-3,"Lead, (2-methyl-4,6-dinitrophenolato-O1)(nitrato-O)-.mu.-oxodi-, monohydrate",Listed - public,Carcinogenicity 2 H351; Mutagenicity 2 H341; Reproductive toxicity 1A H360Df,-,-,-,-,-,-,-,-,-,-,01-July-2020
79538-32-2,"tefluthrin (ISO); 2,3,5,6-tetrafluoro-4-methylbenzyl (1RS,3RS)-3-[(Z)-2-chloro-3,3,3-trifluoroprop-1-enyl]-2,2-dimethylcyclopropanecarboxylate",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
79568-06-2,(3-aminophenyl)pyridin-3-ylmethanone,-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
79617-97-3,"(1S-cis)-4-(3,4-dichlorophenyl)-1,2,3,4-tetrahydro-N-methyl-1-naphthalenamine 2-hydroxy-2-phenylacetate",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
79622-59-6,"fluazinam (ISO); 3-chloro-N-[3-chloro-2,6- dinitro-4-(trifluoromethyl)phenyl]-5- (trifluoromethyl) pyridin-2-amine",-,Reproductive toxicity 2 H361d; Aquatic (chronic) 1 H410,Repr. 2 H361D; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
79723-02-7,tetramethylammonium hydrogen phthalate,-,Aquatic (acute) 1 H400,Aquatic Acute 1 H400,-,-,-,-,-,-,-,-,-,01-July-2020
79815-20-6,"(S)-2,3-dihydro-1H-indole-2-carboxylic acid",-,Reproductive toxicity 2 H361f,Repr. 2 H361f,-,-,-,-,-,-,-,-,-,01-July-2020
80387-97-9,"2-ethylhexyl[[[3,5-bis(1,1-dimethylethyl)-4-hydroxyphenyl]methyl]thio]acetate",Listed - public,Reproductive toxicity 1B H360D,Repr. 1B H360D,-,-,-,-,-,-,-,-,-,01-July-2020
80466-34-8,"2,4-Hexadienal",Listed - Public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,24-September-2024
80844-07-1,etofenprox (ISO); 2-(4-ethoxyphenyl)-2-methylpropyl 3-phenoxybenzyl ether,-,Reproductive toxicity (lactation) H362; Aquatic (chronic) 1 H410,Lact. H362; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
81381-52-4,"2,2',3,4,4',5-Hexabromobiphenyl",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
81406-37-3,"fluroxypyr-meptyl (ISO);  methylheptyl, O-(4-amino-3,5-dichloro-6-fluoro-2-pyridyloxy) acetate",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
81737-16-8,"Cuprate(4-), [.mu.-[[4,4'-[(3,3'-dihydroxy[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[3-hydroxy-2,7-naphthalenedisulfonato]](8-)]]di-, tetrahydrogen",Listed - public,Carcinogenicity 1B H350,-,-,-,-,-,-,-,-,-,-,01-July-2020
81737-17-9,"Cuprate(4-), [.mu.-[[4,4'-[(3,3'-dihydroxy[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[3-hydroxy-2,7-naphthalenedisulfonato]](8-)]]di-, tetrahydrogen, compd. with 2,2',2''-nitrilotris[ethanol] (1:4)",Listed - public,Carcinogenicity 1B H350,-,-,-,-,-,-,-,-,-,-,01-July-2020
81777-89-1,"clomazone (ISO); 2-(2-chlorobenzyl)-4,4-dimethyl-1,2-oxazolidin-3-one",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,24-September-2024
81880-96-8,(4-hydrazinophenyl)-N-methylmethanesulfonamide hydrochloride,-,Mutagenicity 2 H341; Aquatic (chronic) 1 H410,Muta. 2 H341; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
81992-66-7,"sodium 2-[[4-[(4,6-dichloro-1,3,5-triazin-2-yl)amino]phenyl]sulfonyl]ethyl sulfate",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
82097-50-5,"triasulfuron (ISO);  1-[2-(2-chloroethoxy)phenylsulfonyl]-3-(4-methoxy-6-methyl-1,3,5-triazin-2-yl)urea",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
82382-12-5,"1-Hexanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-, sodium salt",-,-,-,-,-,-,-,-,-,vPvB (Article 57e),-,-,24-September-2024
82413-20-5,(E)-3-[1-[4-[2-(dimethylamino)ethoxy]phenyl]-2-phenylbut-1-enyl]phenol,-,Carcinogenicity  2 H351; Reproductive toxicity 1B H360F; Aquatic (chronic) 1 H410,Carc. 2 H351; Repr. 1B H360F; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,Group 3,-,-,-,-,-,-,-,-,01-July-2020
82560-54-1,"benfuracarb (ISO);  ethyl N-[2,3-dihydro-2,2-dimethylbenzofuran-7-yloxycarbonyl(methyl)aminothio]-N-isopropyl- ß-alaninate",-,Reproductive toxicity 2 H361f; Aquatic (chronic) 1 H410,Repr. 2 H361f; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
82633-79-2,"2,3,5,6-tetrahydro-2-methyl-2H-cyclopenta[d]-1,2-thiazol-3-one",Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
82657-04-3,"bifenthrin (ISO); (2-methylbiphenyl-3-yl)methyl rel-(1R,3R)-3-[(1Z)-2-chloro- 3,3,3-trifluoroprop-1-en-1-yl]- 2,2-dimethylcyclopropanecarboxylate",-,Carcinogenicity 2 H351; Aquatic (chronic) 1 H410,Carc. 2 H351; Aquatic Acute 1 H400; Aquatic Chronic H410,-,-,-,-,-,-,-,-,-,01-July-2020
82865-89-2,"2,2',3,3',4,4'-Hexabromobiphenyl",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
82865-90-5,"2,2',3,3',4,5'-Hexabromobiphenyl",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
82865-91-6,"2,3,3',4',5',6-Hexabromobiphenyl",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
83027-55-8,"Cuprate(4-), [.mu.-[7-(benzoylamino)-3-[[3,3'-dihydroxy-4'-[(1-hydroxy-4,8-disulfo-2-naphthalenyl)azo][1,1'-biphenyl]-4-yl]azo]-4-hydroxy-1,5-naphthalenedisulfonato(8-)]]di-, tetrasodium",Listed - public,Carcinogenicity 1B H350,-,-,-,-,-,-,-,-,-,-,01-July-2020
83056-32-0,2-(isocyanatosulfonylmethyl)benzoic acid methyl ester;  (alt.):methyl 2-(isocyanatosulfonylmethyl)benzoate,-,Mutagenicity 2 H341,Muta. 2 H341,-,-,-,-,-,-,-,-,-,01-July-2020
83164-33-4,"diflufenican (ISO); N-(2,4-difluorophenyl)-2-[3-(trifluoromethyl)phenoxy]-3-pyridinecarboxamide",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,24-September-2024
83221-42-5,"Benzenesulfonic acid, 5-ethoxy-2-[[4-(phenylazo)phenyl]azo]-, sodium salt",Listed - public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,01-July-2020
83221-76-5,"2-Naphthalenesulfonic acid, 7,7'-(carbonyldiimino)bis[4-hydroxy-3-[(2-methoxyphenyl)azo]-, sodium salt",Listed - public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,01-July-2020
83221-78-7,"1-Naphthalenesulfonic acid, 4-[[1-hydroxy-6-[[[[5-hydroxy-6-[(2-methoxyphenyl)azo]-7-sulfo-2-naphthalenyl]amino]carbonyl]amino]-3-sulfo-2-naphthalenyl]azo]-, sodium salt",Listed - public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,01-July-2020
83221-79-8,"Benzoic acid, 2-[[2-amino-5-hydroxy-6-[[4'-[(2-hydroxy-6-sulfo-1-naphthalenyl)azo]-3,3'-dimethoxy[1,1'-biphenyl]-4-yl]azo]-7-sulfo-1-naphthalenyl]azo]-5-nitro-, sodium salt",Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341,-,-,-,-,-,-,-,-,-,-,01-July-2020
83232-30-8,"2-Naphthalenesulfonic acid, 7,7'-(carbonyldiimino)bis[4-hydroxy-3-[(2-methylphenyl)azo]-, sodium salt",Listed - public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,01-July-2020
83232-32-0,"2-Naphthalenesulfonic acid, 4-hydroxy-7-[[[[5-hydroxy-6-[(2-methylphenyl)azo]-7-sulfo-2-naphthalenyl]amino]carbonyl]amino]-3-[(2-methyl-4-sulfophenyl)azo]-, sodium salt",Listed - public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,01-July-2020
83232-53-5,"Cuprate(4-), [.mu.-[[3,3'-[(3,3'-dihydroxy[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[5-ethoxy-4-hydroxy-2,7-naphthalenedisulfonato]](8-)]]di-, tetrasodium",Listed - public,Carcinogenicity 1B H350,-,-,-,-,-,-,-,-,-,-,01-July-2020
83232-54-6,"Cuprate(3-), [.mu.-[5-(acetylamino)-3-[[4'-[(1,8-dihydroxy-4-sulfo-2-naphthalenyl)azo]-3,3'-dihydroxy[1,1'-biphenyl]-4-yl]azo]-4-hydroxy-2,7-naphthalenedisulfonato(7-)]]di-, trisodium",Listed - public,Carcinogenicity 1B H350,-,-,-,-,-,-,-,-,-,-,01-July-2020
83249-25-6,"2,7-Naphthalenedisulfonic acid, 4,4'-[(3,3'-dichloro[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[3-amino-, sodium salt",Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341,-,-,-,-,-,-,-,-,-,-,01-July-2020
83400-08-2,"2,7-Naphthalenedisulfonic acid, 3,3'-[(3,3'-dimethoxy[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[5-amino-4-hydroxy-, lithiumsodium salt",Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341,-,-,-,-,-,-,-,-,-,-,01-July-2020
83648-84-4,di-L-para-menthene,-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
83763-65-9,"1,3-Naphthalenedisulfonic acid, 6,6'-[(3,3'-dimethoxy[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[4-amino-5-hydroxy-, sodium salt, compound with 2,2',2''-nitrilotris[ethanol]",Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341,-,-,-,-,-,-,-,-,-,-,01-July-2020
83763-66-0,"1,3-Naphthalenedisulfonic acid, 6,6'-[(3,3'-dimethoxy[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[4-amino-5-hydroxy-, sodium salt",Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341,-,-,-,-,-,-,-,-,-,-,01-July-2020
83763-86-4,"2-Naphthalenesulfonic acid, 4-hydroxy-7-[[[[5-hydroxy-6-[(2-methoxyphenyl)azo]-7-sulfo-2-naphthalenyl]amino]carbonyl]amino]-3-[(6-sulfo-2-naphthalenyl)azo]-, sodium salt, compound with 2,2'-(methylimino)bis[ethanol]",Listed - public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,01-July-2020
83833-21-0,"8-Oxa-3,5-dithia-4-stannadocosanoic acid, 4,4-dibutyl-7-oxo-, tetradecyl ester",Listed - Public,Reproductive toxicity 2 H361f; Mutagenicity 2 H341,-,-,-,-,-,-,-,-,-,-,24-September-2024
83834-59-7,2-ethylhexyl 4-methoxycinnamate,-,-,-,-,-,-,Identified EDC,-,-,-,-,-,01-July-2020
83918-57-4,"(±)-1- [2-(allyloxy)ethyl-2-(2,4-dichlorophenyl)]-1H-imidazolium hydrogen sulphate; (±)-1- [2-(allyloxy)ethyl-2-(2,4-dichlorophenyl)]-1H-imidazolium hydrogen sulfate
",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
83929-90-2,C.I. Disperse Yellow 218,Listed - public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,01-July-2020
83968-21-2,"1,3-Benzenediamine, 2(or 4)-methyl-, coupled with diazotized 2(or 4)-methyl-1,3-benzenediamine, hydrochlorides",Listed - public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,01-July-2020
83968-67-6,"chrysoidine dihydrochloride;  4-(phenylazo)benzene-1,3-diamine dihydrochloride",-,Mutagenicity 2 H341; Aquatic (chronic) 1 H410,Muta. 2 H341; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
84030-53-5,"Sulfuric acid, monododecyl ester, compound with 4,4'-carbonimidoylbis[N,N-dimethylbenzenamine] (1:1)",Listed - public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,01-July-2020
84030-86-4,"esbiothrin;  (RS)-3-allyl-2-methyl-4-oxocyclopent-2-enyl (1R,3R)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
84082-38-2,Chloroalkanes(C=10-21),Listed - public,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
84100-97-0,"1,3-Naphthalenedisulfonic acid, 7-hydroxy-8-[[4-(phenylazo)phenyl]azo]-, compound with 10-nonadecanamine (1:2)",Listed - public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,01-July-2020
84195-99-3,"tert-Decanoic acid, cobalt(2+) salt",Listed - public,Carcinogenicity 1B H350; Reproductive toxicity 1B H360F,-,-,-,-,-,-,-,-,-,-,01-July-2020
84196-22-5,"chrysoidine sulfate; bis[4-(phenylazo)benzene-1,3-diamine] sulfate",-,-,-,-,-,-,-,-,-,-,-,-,01-July-2020
84245-12-5,"N-[6,9-dihydro-9-[[2-hydroxy-1-(hydroxymethyl)ethoxy]methyl]-6-oxo-1H-purin-2-yl]acetamide",-,Carcinogenicity 1B H350; Mutagenicity 1B H340; Reproductive toxicity 1B H360FD,Carc. 1B H350; Muta. 1B H340,-,-,-,-,-,-,-,-,-,01-July-2020
84255-15-2,"Benzenamine, 4,4'-carbonimidoylbis[N,N-dimethyl-, mononitrate",Listed - public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,01-July-2020
84255-51-6,"Isooctanoic acid, cobalt(2+) salt",Listed - public,Carcinogenicity 1B H350; Reproductive toxicity 1B H360F,-,-,-,-,-,-,-,-,-,-,01-July-2020
84281-76-5,"1,3-Benzenediamine, 2(or 4)-methyl-, coupled with diazotized 2(or 4)-methyl-1,3-benzenediamine",Listed - public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,01-July-2020
84281-77-6,"1,3-Benzenediamine, 2(or 4)-methyl-, coupled with diazotized 2(or 4)-methyl-1,3-benzenediamine, acetate",Listed - public,Carcinogenicity 2 H351,-,-,-,-,-,-,-,-,-,-,01-July-2020
84303-47-9,"2,3,3',4,4',5'-Hexabromobiphenyl",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
84303-48-0,"2,3',4,4',5',6-Hexabromobiphenyl",-,-,-,-,-,-,-,-,-,-,Class I,-,01-July-2020
84332-86-5,"chlozolinate (ISO);  ethyl (RS)-3-(3,5-dichlorophenyl)-5-methyl-2,4-dioxo-oxazolidine-5-carboxylate",-,Carcinogenicity 2 H351,Carc. 2 H351,-,-,-,-,-,-,-,-,-,01-July-2020
